chr1_51440347_51440432	ENSG00000085832.17	0.948052
chr1_224311800_224311857	ENSG00000143748.18	0.789062
chr1_32810591_32810766	ENSG00000134684.10	0.878505
chr1_155814330_155814449	ENSG00000116580.18	0.944444
chr1_111778436_111778492	ENSG00000171385.9	0.175824
chr1_103013282_103013327	ENSG00000060718.22	0.235294
chr1_1313035_1313124	ENSG00000127054.21	0.869725
chr1_111124742_111124881	ENSG00000156171.14	0.931818
chr1_230945389_230945454	ENSG00000143643.13	0.903226
chr1_19123596_19123675	ENSG00000127481.15	0.0829694
chr1_23340852_23341020	ENSG00000125944.20	0.166667
chr1_74714579_74714630	ENSG00000116791.14	0.95
chr1_26885973_26886133	ENSG00000142751.15	0.882353
chr1_45719203_45719340	ENSG00000197429.11	0.95
chr1_108156701_108156885	ENSG00000085491.17	0.285714
chr1_112583972_112584126	ENSG00000007341.19	0.917582
chr1_75214605_75214678	ENSG00000137968.16	0.925
chr1_175177611_175177684	ENSG00000235750.10	0.9
chr1_62539752_62539892	ENSG00000116641.18	0.945946
chr1_91262481_91262592	ENSG00000162669.16	0.925926
chr1_176133847_176133900	ENSG00000143207.21	0.0588235
chr1_220196250_220196398	ENSG00000118873.16	0.944444
chr1_36444004_36444033	ENSG00000116885.18	0.178571
chr1_236243422_236243495	ENSG00000086619.14	0.940367
chr1_144429700_144429863	ENSG00000266338.6	0.870588
chr1_243185779_243186072	ENSG00000143702.16	0.707231
chr1_32369230_32369338	ENSG00000160058.18	0.0745098
chr1_28027789_28027926	ENSG00000158161.16	0.339286
chr1_23340852_23341017	ENSG00000125944.20	0.212963
chr1_234427317_234427388	ENSG00000059588.10	0.866071
chr1_62583184_62583254	ENSG00000116641.18	0.774648
chr1_236249885_236249967	ENSG00000086619.14	0.478155
chr1_39523807_39523896	ENSG00000243970.3	0.142169
chr1_19149763_19149795	ENSG00000127481.15	0.363636
chr1_161052440_161052543	ENSG00000186517.14	0.6
chr1_52913895_52914095	ENSG00000121310.17	0.127389
chr1_156744501_156744570	ENSG00000143321.19	0.0612245
chr1_119140268_119140458	ENSG00000116874.11	0.148148
chr1_11256933_11257165	ENSG00000198793.13	0.945848
chr1_227059373_227059411	ENSG00000143776.18	0.233333
